sequence,name,filename,mime,size_bytes,dimensions,sha256
1,1Bill Credit Card Bills,01_1Bill_Credit_Card_Bills.png,image/png,24884,240x244,3bc325003cd6e4175a9cc6963f0114b62cbec1a6d4abb91da48547f59f3fb902
2,1Bill Top Up,02_1Bill_Top_Up.png,image/png,24884,240x244,3bc325003cd6e4175a9cc6963f0114b62cbec1a6d4abb91da48547f59f3fb902
3,1Bill Voucher/ Fee Payment,03_1Bill_Voucher_Fee_Payment.png,image/png,24884,240x244,3bc325003cd6e4175a9cc6963f0114b62cbec1a6d4abb91da48547f59f3fb902
4,ABL AMC,04_ABL_AMC.png,image/png,22876,252x244,6fdcb9644dbe148547ad5ba68c7efdea9b60782a8c136eeae2c3405dbcd75467
5,AKD Investment,05_AKD_Investment.png,image/png,27587,250x249,8038e6924a89028f3006c5f7fde9f0d92939f094d7de39f6c2d2afb1e088c35f
6,Al Meezan,06_Al_Meezan.png,image/png,52746,247x247,bfc6550178ecaaf28f05ba9e25b25eac9fb59fb9a540e7e809ba2cd363ff49c2
7,Askari Investment,07_Askari_Investment.png,image/png,22103,249x249,1e028dee96d09fb1ef55333b101080e955ed0cb7ae86b8efe549a7fbc33e5159
8,BSS,08_BSS.png,image/png,37317,240x244,2cda5bcae2cab942988f00e9e2ffeb347c397059d9334089dcb9428c6e33b46e
9,BWASA,09_BWASA.png,image/png,37652,252x240,18e56ee5f2d6903b3a9e5dbe708515eacc91d1e96ae053be39d007c644a351f5
10,Careem,10_Careem.jpg,image/jpeg,2781,64x64,e0081d5fba6e509f07892ab64d67f2efaaa671c8a8d122fb3d3f69b5c783f691
11,CDC,11_CDC.png,image/png,24192,247x247,c89301a32402da92c50f910a9c22fb505951ca94a026cf01d0e9f0872efe2a41
12,CDCIAS,12_CDCIAS.png,image/png,24192,247x247,c89301a32402da92c50f910a9c22fb505951ca94a026cf01d0e9f0872efe2a41
13,City District Government Karachi (CDGK),13_City_District_Government_Karachi_CDGK.png,image/png,33965,240x244,034d25f1113c81f4b7c16c8650a4395a67930108dc3d0e30128c3eb4c3571d20
14,DAEWOO,14_DAEWOO.jpg,image/jpeg,5019,64x64,d89b96837fb84a186c8f9d55dc69d98b37c131dda1362f3de795036236ed98bd
15,DARAZ,15_DARAZ.png,image/png,12071,244x248,c63ecdc4611ed06c153a7a39940b697c0bfbabe448479d3007ddefd9ec9a2fdf
16,DP WORLD,16_DP_WORLD.png,image/png,26223,244x236,ef10a7c33f3da860902bca4892530b38a99e6180a05785fd3fb74aeecb195b00
17,EFU - Conventional,17_EFU_Conventional.png,image/png,33829,240x248,7b1ca971fbfce3573e116dc7078bc93f333035ba92bd16eacc61ec0b9c1fe237
18,EFU - Takaful,18_EFU_Takaful.png,image/png,33829,240x248,7b1ca971fbfce3573e116dc7078bc93f333035ba92bd16eacc61ec0b9c1fe237
19,ENGRO,19_ENGRO.png,image/png,17770,252x236,c1851a8de6830db5e64a46208896e10696ac241047ca874bfdf85d5dfa2fc4d7
20,Federal Board of Revenue (FBR),20_Federal_Board_of_Revenue_FBR.png,image/png,16710,248x244,6e0ed4f7cdeebb6f322d1b2bd4c49fb1bef022b4c2c2e93a206699f845cbb7e0
21,FESCO,21_FESCO.png,image/png,100879,244x244,1f6772acaaaf53f5e45458168f612bc0a3b3eb8952ac060b2c14e24271dd7c96
22,FINJA,22_FINJA.png,image/png,14034,248x236,1cb87c24c158bc65df325d7e7fd9485523eaee354c3056121d5d166d1e5146dd
23,FWASA,23_FWASA.png,image/png,43236,248x244,1f9275d3addc622d94e2f13830cd1e255c96c34283a98ecb66dc6a3e0ccb419c
24,GEPCO,24_GEPCO.png,image/png,45275,240x244,19349a6eccb1c16bbd00918252e53c8daf61213fa0060008c4aff5ec23ef05d8
25,Haball,25_Haball.png,image/png,15411,232x236,1f163671686381037263f20c32a025df86a8896fe555f2330b16583e3ba5ddaa
26,HESCO,26_HESCO.png,image/png,39435,248x248,d442d78d2c5de75cc781ffa1158f0c32c604b66c3f51360d7eeb8c937152dd10
27,IESCO,27_IESCO.png,image/png,30696,248x244,8c6605de7e6df3d5c1e3f98855b98b96a201bf0cb282141989ceccc5c0810591
28,Jubilee Life Insurance - ADHOC,28_Jubilee_Life_Insurance_ADHOC.png,image/png,16472,236x248,a4dcd28fecb7144ac158a109464e59426cce793a38e610baa435d79ea626ceb7
29,Jubilee Life Insurance - INDEX,29_Jubilee_Life_Insurance_INDEX.png,image/png,16472,236x248,a4dcd28fecb7144ac158a109464e59426cce793a38e610baa435d79ea626ceb7
30,Jubilee Life Insurance - NONINDEX,30_Jubilee_Life_Insurance_NONINDEX.png,image/png,16472,236x248,a4dcd28fecb7144ac158a109464e59426cce793a38e610baa435d79ea626ceb7
31,K-Electric,31_K_Electric.png,image/png,20325,248x248,98faff6b31d8412a10288b53da91d8a3b786901f5d817c56659f1c1a308b8415
32,Kashf Foundation,32_Kashf_Foundation.png,image/png,26032,244x244,e795872f22973a0013646855478cf6543ca4432d1a9ad8c6b4b99c15218c1bfe
33,KE-New Connection,33_KE_New_Connection.png,image/png,20325,248x248,98faff6b31d8412a10288b53da91d8a3b786901f5d817c56659f1c1a308b8415
34,KWSB,34_KWSB.png,image/png,92812,252x248,fe18064da0254ac9a3e8da5b3bd6783d7814f87c7e37926d1e65183b248f13fa
35,LESCO,35_LESCO.png,image/png,71017,244x248,f2608d59ddefe1652b5b555d89a5803fc23c86831547a657bbe2248a0d48ec9a
36,LUMS,36_LUMS.png,image/png,19605,248x244,242ac20ef801205d9876407ed23fb792bb4baaca81a7ab7f72b992e165314cb7
37,MEPCO,37_MEPCO.png,image/png,93668,252x244,4b2839ad3ecd7396693b1f8473139145cbffc9f3d3847b9fadb625d63fc5fb3e
38,Mobilink Jazz Cash,38_Mobilink_Jazz_Cash.png,image/png,26470,244x248,41bff95c7ebebc61dbcd7c235c4e507127c87080d0ea3b8c71787a92ec14de10
39,MWASA,39_MWASA.png,image/png,57253,244x244,805ec97586043173ab8fa26ce9ad669fa44316d57c4fa0b7ec6666284ed43fa7
40,NAYATEL,40_NAYATEL.png,image/png,17846,248x248,46b558a6be00d0b204fcfe31a578fdf023a0b15c2ef68b9529589ed27d8a7723
41,ONELOAD,41_ONELOAD.png,image/png,16187,236x236,76a6a3040621b292e5cb764e0d8c68dfe26254149c706c497e65c1ea4528bf56
42,PayPro,42_PayPro.png,image/png,16143,244x240,e11b112b4534c4d2ae5eb18ec3ac7d402488ced0c9551cb415a2f83bb0759252
43,PESCO,43_PESCO.png,image/png,47731,248x244,9be6b8dd123f4327940fcf644a8087a42a5af5bc3cc49d9305d3363f3ab460fa
44,PTCL Defaulter,44_PTCL_Defaulter.png,image/png,24573,244x248,398959fa7637e964cef8dc52c2085bce85fed701a0d07c199caff2ac7ca1a782
45,PTCL EVO Postpaid,45_PTCL_EVO_Postpaid.png,image/png,24573,244x248,398959fa7637e964cef8dc52c2085bce85fed701a0d07c199caff2ac7ca1a782
46,PTCL EVO Prepaid,46_PTCL_EVO_Prepaid.png,image/png,24573,244x248,398959fa7637e964cef8dc52c2085bce85fed701a0d07c199caff2ac7ca1a782
47,PTCL Landline,47_PTCL_Landline.png,image/png,24573,244x248,398959fa7637e964cef8dc52c2085bce85fed701a0d07c199caff2ac7ca1a782
48,PTCL Vfone,48_PTCL_Vfone.png,image/png,24573,244x248,398959fa7637e964cef8dc52c2085bce85fed701a0d07c199caff2ac7ca1a782
49,Punjab Group of Colleges,49_Punjab_Group_of_Colleges.png,image/png,28760,256x244,d7f94161c4000e7ffb07ac486d86de05effae7189e3e50b3efcd1b4f5426a23a
50,Punjab Revenue Authority (PRA),50_Punjab_Revenue_Authority_PRA.png,image/png,19731,244x244,650e21ea38e50c88be0f1d4d0ad236d13041586baa494f3ab3cfbebe800a2ad0
51,QESCO,51_QESCO.png,image/png,86745,240x244,4968fb919e597719163280a830254d5c0ad1cee6c66620ddd1219a2c47158141
52,Qubee Consumer,52_Qubee_Consumer.png,image/png,21414,236x252,89388b38a0c8568ea4f1c8de0a102a4811aee77b0827e26c7d2b0c160b6181fc
